id,name,date,country,region,location,latitude,longitude,organizer,contact_email,website,image_url,source,event_url,description,fee_rsd,fee_eur
18e01e3c5d3078b8f6974970a58bfe84,Virtualna novogodišnja humanitarna trka za Janu,2026-01-17,Serbia,,Srbija,44.0243229,21.0765743,"Fondacija CF prijateljstvo, Pana Đukića 1, Knjaževac",cfprijateljstvo@gmail.com,https://trka.rs/events/839-virtualna-novogodi%C5%A1nja-humanitarna-trka-za-janu/,,trka.rs,https://trka.rs/events/839-virtualna-novogodi%C5%A1nja-humanitarna-trka-za-janu/,,,
eaeb5d506b3b7cff46b86505ef9fde9a,5. Vezirac trejl 2026,2026-01-17,Serbia,,Petrovaradin,45.2426175,19.8820073,"АРК ""Фрушка гора"" и ПК ""Железничар"" Инђија",zovcin@uns.ac.rs,https://trka.rs/events/842-5-vezirac-trejl-2026/,,trka.rs,https://trka.rs/events/842-5-vezirac-trejl-2026/,,,
c181c0d5277cf210ba97302a407b04aa,"2. Humanitarna trail trka ""Krug oko šume""",2026-01-24,Serbia,,Панчево,44.8705686,20.6399643,Heartbeat Events,heartbeatevents25@gmail.com,https://trka.rs/events/830-2-humanitarna-trail-trka-krug-oko-sume/,,trka.rs,https://trka.rs/events/830-2-humanitarna-trail-trka-krug-oko-sume/,,,
5a44562c88f3a64b381fa7c062b6160a,Winter Challenge Race,2026-01-24,Serbia,,Zlatibor (Avantura park),,,Savez za rekreaciju i fitnes Srbije Zdravka Čelara 14 Beograd,office@srfs.org.rs,https://trka.rs/events/840-winter-challenge-race/,,trka.rs,https://trka.rs/events/840-winter-challenge-race/,,,
b66291c662277875dd784f2b8ab71fdc,3. Zimska Humanitarna 5ica,2026-02-01,Serbia,,Kanal DTD Odžaci,,,Humanitarno udruženje građana Odžaci Žarka Zrenjanina 18 Odžaci,humanitarna.petica@yahoo.com,https://trka.rs/events/829-3-zimska-humanitarna-5ica/,,trka.rs,https://trka.rs/events/829-3-zimska-humanitarna-5ica/,,,
4fe2883ed2ad8a6d9207ce4dbd143341,Cer Winter Trail,2026-02-01,Serbia,,Planina Cer,,,SPORTSKO UDRUŽENJE CER TRAIL,certrailrace@gmail.com,https://trka.rs/events/809-cer-winter-trail/,,trka.rs,https://trka.rs/events/809-cer-winter-trail/,,,
67676bf8de47b97ebd30dc83feb1858f,2. KTJ trejl štafeta,2026-02-08,Serbia,,Иришки венац,45.149853,19.8295243,Sportsko udruženje Štafeta,stafeta.ktj@gmail.com,https://trka.rs/events/792-2-ktj-trejl-stafeta/,,trka.rs,https://trka.rs/events/792-2-ktj-trejl-stafeta/,,,
7dfa074491024d26cead57480c7cb5ca,Serbia EPIC KOŠUTNJAK,2026-03-01,Serbia,,Košutnjak pionirski grad,,,Biciklistički klub Novi Sad Temerinska 42 Novi Sad,novisadmtb2021@gmail.com,https://trka.rs/events/769-serbia-epic-kosutnjak/,,trka.rs,https://trka.rs/events/769-serbia-epic-kosutnjak/,,,
ac77941b4fa132e575cbbe91ceed85be,30. Maraton Samoprevazilaženja,2026-03-01,Serbia,,"Niš, Park Čair",,,Šri Činmoj Maraton Tim,organizator@zimskimaraton.com,https://trka.rs/events/843-30-maraton-samoprevazila%C5%BEenja/,,trka.rs,https://trka.rs/events/843-30-maraton-samoprevazila%C5%BEenja/,,,
79b8f6837f96851f3d43a3106effe59a,2. Sandstorm,2026-03-07,Serbia,,Jezero Tresetište,,,Sportsko udruženje Skajraners Arsenija Čarnojevića 12 Subotica,skyrunnerssu@gmail.com,https://trka.rs/events/811-sandstorm/,,trka.rs,https://trka.rs/events/811-sandstorm/,,,
